pc	macro_index	micro_opcode	rounding
681	92	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
682	92	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
683	93	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
684	93	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
685	93	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
686	93	RESHAPE	exact_or_explicitly_pinned
687	93	TRANSPOSE	exact_or_explicitly_pinned
688	93	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
689	93	RELATIVE_BIAS	exact_or_explicitly_pinned
690	93	CAUSAL_MASK	exact_or_explicitly_pinned
691	93	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
692	93	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
693	93	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
694	93	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
695	93	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
696	93	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
697	93	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
698	93	RESHAPE	exact_or_explicitly_pinned
699	93	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
700	94	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
701	95	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
702	95	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
703	95	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
704	95	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
705	95	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
706	95	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
707	95	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
708	96	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
709	96	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
710	96	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
711	96	F32_CUBE	binary32_roundTiesToEven_after_each_scalar_result
712	96	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
713	96	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
714	96	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
715	96	F32_TANH	binary32_roundTiesToEven_after_each_scalar_result
716	96	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
717	96	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
718	96	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
719	96	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
