pc	macro_index	micro_opcode	rounding
373	53	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
374	53	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
375	53	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
376	53	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
377	53	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
378	54	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
379	54	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
380	54	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
381	54	RESHAPE	exact_or_explicitly_pinned
382	54	TRANSPOSE	exact_or_explicitly_pinned
383	54	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
384	54	RELATIVE_BIAS	exact_or_explicitly_pinned
385	54	CAUSAL_MASK	exact_or_explicitly_pinned
386	54	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
387	54	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
388	54	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
389	54	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
390	54	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
391	54	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
392	54	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
393	54	RESHAPE	exact_or_explicitly_pinned
394	54	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
395	55	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
396	56	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
397	56	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
398	56	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
399	56	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
400	56	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
401	56	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
402	56	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
403	57	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
404	57	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
405	57	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
406	57	RESHAPE	exact_or_explicitly_pinned
407	57	TRANSPOSE	exact_or_explicitly_pinned
408	57	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
409	57	RELATIVE_BIAS	exact_or_explicitly_pinned
410	57	CAUSAL_MASK	exact_or_explicitly_pinned
411	57	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
412	57	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
413	57	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
414	57	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
415	57	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
416	57	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
417	57	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
418	57	RESHAPE	exact_or_explicitly_pinned
419	57	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
420	58	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
421	59	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
422	59	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
423	59	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
424	59	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
425	59	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
426	59	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
427	59	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
428	60	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
429	60	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
430	60	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
431	60	F32_CUBE	binary32_roundTiesToEven_after_each_scalar_result
432	60	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
433	60	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
434	60	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
435	60	F32_TANH	binary32_roundTiesToEven_after_each_scalar_result
436	60	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
437	60	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
438	60	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
439	60	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
440	61	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
441	62	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
442	62	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
443	62	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
444	62	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
445	62	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
446	62	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
447	62	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
448	63	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
449	63	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
450	63	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
451	63	RESHAPE	exact_or_explicitly_pinned
452	63	TRANSPOSE	exact_or_explicitly_pinned
453	63	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
454	63	RELATIVE_BIAS	exact_or_explicitly_pinned
455	63	CAUSAL_MASK	exact_or_explicitly_pinned
456	63	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
457	63	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
458	63	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
459	63	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
460	63	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
461	63	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
462	63	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
463	63	RESHAPE	exact_or_explicitly_pinned
464	63	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
465	64	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
466	65	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
467	65	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
468	65	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
469	65	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
470	65	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
471	65	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
472	65	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
473	66	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
474	66	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
475	66	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
476	66	RESHAPE	exact_or_explicitly_pinned
477	66	TRANSPOSE	exact_or_explicitly_pinned
478	66	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
479	66	RELATIVE_BIAS	exact_or_explicitly_pinned
480	66	CAUSAL_MASK	exact_or_explicitly_pinned
481	66	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
482	66	F32_REDUCE_MAX	binary32_roundTiesToEven_after_each_scalar_result
483	66	F32_SUB	binary32_roundTiesToEven_after_each_scalar_result
484	66	F32_EXP	binary32_roundTiesToEven_after_each_scalar_result
485	66	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
486	66	F32_DIV	binary32_roundTiesToEven_after_each_scalar_result
487	66	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
488	66	RESHAPE	exact_or_explicitly_pinned
489	66	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
490	67	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
491	68	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
492	68	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
493	68	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
494	68	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
495	68	F32_RSQRT	binary32_roundTiesToEven_after_each_scalar_result
496	68	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
497	68	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
498	69	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
499	69	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
500	69	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
501	69	F32_CUBE	binary32_roundTiesToEven_after_each_scalar_result
502	69	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
503	69	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
504	69	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
505	69	F32_TANH	binary32_roundTiesToEven_after_each_scalar_result
506	69	F32_ADD_CONST	binary32_roundTiesToEven_after_each_scalar_result
507	69	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
508	69	F32_MUL	binary32_roundTiesToEven_after_each_scalar_result
509	69	F32_MATMUL	binary32_roundTiesToEven_after_each_scalar_result
510	70	F32_ADD	binary32_roundTiesToEven_after_each_scalar_result
511	71	F32_SQUARE	binary32_roundTiesToEven_after_each_scalar_result
512	71	F32_REDUCE_SUM	binary32_roundTiesToEven_after_each_scalar_result
513	71	F32_MUL_CONST	binary32_roundTiesToEven_after_each_scalar_result
