name	dtype	begin	end	shape	elements	crc32
model.decoder.layers.3.encoder_attn.v_proj.weight	F32	110537384	111127208	384x384	147456	2c2af07d
model.decoder.layers.3.encoder_attn_layer_norm.bias	F32	111127208	111128744	384	384	581baa3b
model.decoder.layers.3.encoder_attn_layer_norm.weight	F32	111128744	111130280	384	384	a4444f05
model.decoder.layers.3.fc1.bias	F32	111130280	111136424	1536	1536	eacde107
model.decoder.layers.3.fc1.weight	F32	111136424	113495720	1536x384	589824	f4e4aea1
model.decoder.layers.3.fc2.bias	F32	113495720	113497256	384	384	420d7f1b
model.decoder.layers.3.fc2.weight	F32	113497256	115856552	384x1536	589824	9cff997f
model.decoder.layers.3.final_layer_norm.bias	F32	115856552	115858088	384	384	6ae580e3
model.decoder.layers.3.final_layer_norm.weight	F32	115858088	115859624	384	384	f180ecde
model.decoder.layers.3.self_attn.k_proj.weight	F32	115859624	116449448	384x384	147456	89a5ff61
model.decoder.layers.3.self_attn.out_proj.bias	F32	116449448	116450984	384	384	86d47ac2
model.decoder.layers.3.self_attn.out_proj.weight	F32	116450984	117040808	384x384	147456	c5f2be08
model.decoder.layers.3.self_attn.q_proj.bias	F32	117040808	117042344	384	384	93d2fa20
model.decoder.layers.3.self_attn.q_proj.weight	F32	117042344	117632168	384x384	147456	6d5557d7
model.decoder.layers.3.self_attn.v_proj.bias	F32	117632168	117633704	384	384	2a8fd5df
model.decoder.layers.3.self_attn.v_proj.weight	F32	117633704	118223528	384x384	147456	7e30c374
model.decoder.layers.3.self_attn_layer_norm.bias	F32	118223528	118225064	384	384	b110488a
model.decoder.layers.3.self_attn_layer_norm.weight	F32	118225064	118226600	384	384	92753021
model.encoder.conv1.bias	F32	118226600	118228136	384	384	871b5698
model.encoder.conv1.weight	F32	118228136	118596776	384x80x3	92160	d4ee106b
model.encoder.conv2.bias	F32	118596776	118598312	384	384	7526d98c
model.encoder.conv2.weight	F32	118598312	120367784	384x384x3	442368	41e77240
model.encoder.embed_positions.weight	F32	120367784	122671784	1500x384	576000	26d197f5
model.encoder.layer_norm.bias	F32	122671784	122673320	384	384	89f90456
model.encoder.layer_norm.weight	F32	122673320	122674856	384	384	1ed3dd6b
model.encoder.layers.0.fc1.bias	F32	122674856	122681000	1536	1536	8088726f
model.encoder.layers.0.fc1.weight	F32	122681000	125040296	1536x384	589824	bc5b3bcc
model.encoder.layers.0.fc2.bias	F32	125040296	125041832	384	384	7c1a20a5
model.encoder.layers.0.fc2.weight	F32	125041832	127401128	384x1536	589824	c36f2cf8
model.encoder.layers.0.final_layer_norm.bias	F32	127401128	127402664	384	384	c233ec2a
model.encoder.layers.0.final_layer_norm.weight	F32	127402664	127404200	384	384	7b430895
model.encoder.layers.0.self_attn.k_proj.weight	F32	127404200	127994024	384x384	147456	5d71940a
model.encoder.layers.0.self_attn.out_proj.bias	F32	127994024	127995560	384	384	0cfa2bc4
model.encoder.layers.0.self_attn.out_proj.weight	F32	127995560	128585384	384x384	147456	d14477fe
model.encoder.layers.0.self_attn.q_proj.bias	F32	128585384	128586920	384	384	9be1cdc4
model.encoder.layers.0.self_attn.q_proj.weight	F32	128586920	129176744	384x384	147456	945874d7
model.encoder.layers.0.self_attn.v_proj.bias	F32	129176744	129178280	384	384	7e070074
model.encoder.layers.0.self_attn.v_proj.weight	F32	129178280	129768104	384x384	147456	746c47f3
model.encoder.layers.0.self_attn_layer_norm.bias	F32	129768104	129769640	384	384	d606a658
model.encoder.layers.0.self_attn_layer_norm.weight	F32	129769640	129771176	384	384	26263dc3
model.encoder.layers.1.fc1.bias	F32	129771176	129777320	1536	1536	43906f57
model.encoder.layers.1.fc1.weight	F32	129777320	132136616	1536x384	589824	115c4a01
model.encoder.layers.1.fc2.bias	F32	132136616	132138152	384	384	47c8edb2
model.encoder.layers.1.fc2.weight	F32	132138152	134497448	384x1536	589824	251daca7
model.encoder.layers.1.final_layer_norm.bias	F32	134497448	134498984	384	384	fd94089c
model.encoder.layers.1.final_layer_norm.weight	F32	134498984	134500520	384	384	909272fe
model.encoder.layers.1.self_attn.k_proj.weight	F32	134500520	135090344	384x384	147456	0d18a752
model.encoder.layers.1.self_attn.out_proj.bias	F32	135090344	135091880	384	384	f4201cff
model.encoder.layers.1.self_attn.out_proj.weight	F32	135091880	135681704	384x384	147456	409c4afc
model.encoder.layers.1.self_attn.q_proj.bias	F32	135681704	135683240	384	384	3db8a0c2
model.encoder.layers.1.self_attn.q_proj.weight	F32	135683240	136273064	384x384	147456	a0cf124e
model.encoder.layers.1.self_attn.v_proj.bias	F32	136273064	136274600	384	384	ee454b23
model.encoder.layers.1.self_attn.v_proj.weight	F32	136274600	136864424	384x384	147456	00a54a31
model.encoder.layers.1.self_attn_layer_norm.bias	F32	136864424	136865960	384	384	a5e08c69
